iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand
TTO,North America,Trinidad and Tobago,2020-06-11,117,0,8,0,83.602,0.0,5.716,0.0,,,,,,,,,1399491.0,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0
TUN,Africa,Tunisia,2020-06-11,1087,0,49,0,91.974,0.0,4.146,0.0,,,,,,,,,11818618.0,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3
TUR,Asia,Turkey,2020-06-11,173036,922,4746,17,2051.671,10.932,56.273,0.202,2500890.0,49190.0,29.653,0.583,41615.0,0.493,tests performed,,84339067.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81
TCA,North America,Turks and Caicos Islands,2020-06-11,12,0,1,0,309.933,0.0,25.828,0.0,,,,,,,,,38718.0,37.312,,,,,,,,,,,
UGA,Africa,Uganda,2020-06-11,665,8,0,0,14.538,0.175,0.0,0.0,,,,,,,,,45741000.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5
UKR,Europe,Ukraine,2020-06-11,28381,525,833,23,648.949,12.004,19.047,0.526,456509.0,10569.0,10.438,0.242,9170.0,0.21,units unclear,,43733759.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8
ARE,Asia,United Arab Emirates,2020-06-11,40507,603,284,1,4095.588,60.968,28.715,0.101,,,,,,,,,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2
GBR,Europe,United Kingdom,2020-06-11,290143,1003,41128,245,4273.974,14.775,605.839,3.609,,,,,,,,70.37,67886004.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54
USA,North America,United States,2020-06-11,2000464,20614,112924,918,6043.65,62.277,341.157,2.773,,,,,,,,,331002647.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77
VIR,North America,United States Virgin Islands,2020-06-11,72,1,6,0,689.503,9.576,57.459,0.0,,,,,,,,,104423.0,306.48,42.2,18.601,10.799,,,273.67,12.26,,,,
URY,South America,Uruguay,2020-06-11,847,1,23,0,243.83,0.288,6.621,0.0,50473.0,820.0,14.53,0.236,671.0,0.193,tests performed,,3473727.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8
UZB,Asia,Uzbekistan,2020-06-11,4695,148,19,1,140.278,4.422,0.568,0.03,,,,,,,,,33469199.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0
VAT,Europe,Vatican,2020-06-11,12,0,0,0,14833.127,0.0,0.0,0.0,,,,,,,,,809.0,,,,,,,,,,,,
VEN,South America,Venezuela,2020-06-11,2738,106,23,0,96.287,3.728,0.809,0.0,,,,,,,,,28435943.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8
VNM,Asia,Vietnam,2020-06-11,332,0,0,0,3.411,0.0,0.0,0.0,,,,,,,,,97338583.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6
ESH,Africa,Western Sahara,2020-06-11,23,0,1,0,38.505,0.0,1.674,0.0,,,,,,,,,597330.0,,28.4,,1.38,,,,,,,,
YEM,Asia,Yemen,2020-06-11,560,36,129,2,18.776,1.207,4.325,0.067,,,,,,,,,29825968.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7
ZMB,Africa,Zambia,2020-06-11,1252,52,10,0,68.103,2.829,0.544,0.0,,,,,,,,,18383956.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0
ZWE,Africa,Zimbabwe,2020-06-11,320,6,4,0,21.53,0.404,0.269,0.0,,,,,,,,,14862927.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7
OWID_WRL,,World,2020-06-11,7343562,132786,416430,5235,942.111,17.035,53.424,0.672,,,,,,,,,7794798729.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705
